country,2017,2018,2019,2020,2021
India,4612033,4372998,4554389,3793319,5148765
Ecuador,2680773,2922137,3675300,3626519,5090381
Viet Nam,2204604,1973110,1961743,1942353,2076129
Indonesia,1403571,1345721,1269175,1416443,1530310
Argentina,1199770,1289995,1040953,821478,1189096
Thailand,918686,696292,662545,562723,624290
Honduras,352754,249813,139380,270641,447440
China,905228,680945,505819,460688,441778
Spain,344710,346415,303497,286119,426290
Bangladesh,473871,378307,365421,339381,357629
Netherlands,180062,242393,233298,246018,299887
Belgium,335491,249011,203920,241747,252645
Peru,216290,219523,229595,217455,246178
Malaysia,171253,190334,245333,185091,233494
Mexico,441174,362505,395878,290097,218470
"Venezuela, Bolivarian Republic of",92477,82223,141713,135707,185931
Nicaragua,151728,159652,158997,144474,163393
United Arab Emirates,17934,97496,74919,54396,122865
France,90551,105470,98020,98207,105920
Saudi Arabia,228216,261035,111901,51491,96828
Madagascar,106074,83491,86753,87003,84212
"Iran, Islamic Republic of",39160,95472,62217,40488,81008
Germany,96983,99735,84431,68464,80216
Pakistan,54773,62862,72776,68386,75825
Morocco,15596,20416,35610,35229,74477
Portugal,71411,89548,57129,44870,72492
Guatemala,67764,55105,51946,58105,66291
Myanmar,54515,64614,83953,85152,60842
Denmark,66175,59621,45924,43288,55969
Tunisia,39387,39175,38775,36777,52634
Sri Lanka,18216,,15980,15852,43524
Senegal,24801,24452,27037,26080,38589
United States of America,41697,34620,28962,24396,38256
Australia,76566,55735,71738,51422,36509
Nigeria,185,31124,29201,12881,34492
Estonia,14573,17115,35750,23706,32302
Brunei Darussalam,3494,2608,1111,1530,24495
Philippines,0,33257,34268,16633,22460
Italy,23180,30144,28645,20501,21985
Greece,11295,13095,16058,15123,19864
United Kingdom,80759,72909,63827,69226,18855
Colombia,28666,29639,25559,22328,16086
Canada,22615,23996,24714,18121,14160
Mauritania,0,0,0,10857,13869
Cuba,23125,21347,20381,12834,13374
Guyana,0,0,6948,19052,12348
"Hong Kong, China",46670,27388,21601,11758,11995
Turkey,5918,4903,7681,5092,11751
Russian Federation,6849,8926,11790,8325,11736
Panama,0,19491,15735,8506,10615
Mozambique,6609,10830,8428,9007,7743
Taipei Chinese,12546,12858,12717,18052,6734
Costa Rica,13062,12255,9811,6754,6121
Czech Republic,2393,2715,8487,5728,6033
Brazil,2986,2813,3107,2272,5578
New Zealand,7115,5942,6651,6069,4884
Papua New Guinea,4094,4280,4822,3527,4398
Singapore,5370,6628,3124,3996,4277
New Caledonia,1360,4762,2936,3574,4033
South Africa,8327,6568,2835,2635,3703
Yemen,5599,4404,2234,3818,3494
Latvia,1721,1748,1765,2016,3361
Lithuania,1478,2455,3578,2994,3142
Poland,500,1289,3321,2316,3059
Romania,312,1259,2319,2701,2965
Albania,758,451,915,2109,2722
Ukraine,195,63,138,1817,2684
Angola,4663,2534,0,1779,2089
Guinea,2,234,353,474,2006
Japan,2079,2104,4168,2608,2004
United States Minor Outlying Islands,10,53,7,569,1739
Austria,2500,2816,2533,1869,1736
Algeria,1626,1892,1297,1242,1706
Oman,155,373,626,2626,1395
Luxembourg,785,987,1105,886,1061
Kazakhstan,14,27,143,1073,1058
Bahrain,10151,11413,23568,16016,1011
"Korea, Republic of",2565,3203,3335,651,971
Cameroon,290,159,1040,2335,937
Slovakia,104,145,193,181,935
Congo,82,1680,1139,469,820
Belize,4441,1547,2216,1775,817
Slovenia,367,643,345,370,640
Croatia,1175,1589,1555,803,629
Sweden,827,725,473,311,584
Greenland,0,0,1014,605,577
Ireland,3104,2046,697,587,507
Bosnia and Herzegovina,46,6,8,4,453
Iceland,147,0,0,0,408
"Tanzania, United Republic of",2533,2572,1622,1863,406
Kenya,0,0,0,538,400
Hungary,78,188,130,158,360
Norway,338,316,1428,73,339
Chile,160,387,582,283,287
British Virgin Islands,,,,,207
El Salvador,525,309,124,3,192
Egypt,59,77,27,0,147
Namibia,1346,127,596,884,107
Trinidad and Tobago,51,52,45,44,103
Bhutan,,11,,5,74
Switzerland,408,751,720,206,70
Qatar,0,0,0,0,61
Ghana,29,20,2,181,53
Bulgaria,64,16,0,10,40
Fiji,49,43,63,37,34
Israel,17,309,15,14,32
Cura�ao,0,0,1,0,27
"Macao, China",,0,0,0,24
Serbia,4,5,22,22,22
Jamaica,60,18,0,372,21
Cyprus,15,1,0,16,20
Sierra Leone,0,8,16,4,16
C�te d'Ivoire,306,344,4,15,15
Falkland Islands (Malvinas),21,,,42,11
Gabon,875,617,253,96,10
Bahamas,0,0,0,0,10
Faroe Islands,83,,,431,9
Armenia,0,0,0,0,8
Finland,12,15,13,20,7
Belarus,0,0,19,1,6
Grenada,0,7,0,5,5
Equatorial Guinea,,,,,3
Benin,6,2,0,2,3
Malta,2,143,0,0,3
Marshall Islands,,1,,5,3
Barbados,0,0,0,0,1
Bermuda,6,3,8,3,0
Cambodia,1,0,0,0,0
Gambia,1080,1104,869,345,0
Togo,0,0,0,2,0
Mauritius,0,1002,0,0,0
Lebanon,2,50,6,8,0
Uruguay,0,102,2,1,0
Samoa,0,0,1,0,0
Free Zones,18,27,,10,
Liberia,0,,41,,
Mali,1,28,0,,
Jordan,45,0,185,0,
"Korea, Democratic People's Republic of",10,,,,
Kuwait,944,409,0,176,
Vanuatu,,3,14,7,
Niue,,,,8,
"Macedonia, North",70,172,203,261,
Somalia,37,29,619,71,
Sudan,0,0,,3,
"Micronesia, Federated States of",,,,6,
Saint Lucia,0,0,0,3,
Djibouti,,5,12,4,
Eritrea,148,105,,,
Haiti,0,,,4,
"Congo, Democratic Republic of the",1,0,0,6,
British Indian Ocean Territory,,,,1,
